Time,R,G,B,X,Y,Z,L*,a*,b*
09:26:42.237,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.010126,0.030047,0.009306
09:26:42.251,0.004,0.000,0.001,0.000007,0.000004,0.000003,0.009193,0.029018,0.007117
09:26:42.267,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.009379,0.029788,0.009053
09:26:42.285,0.004,0.000,0.001,0.000007,0.000004,0.000003,0.009068,0.028566,0.006100
09:26:42.301,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008995,0.026313,0.008316
09:26:42.317,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008935,0.028264,0.008455
09:26:42.334,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009762,0.029550,0.009477
09:26:42.351,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009508,0.030765,0.008346
09:26:42.368,0.004,0.000,0.001,0.000007,0.000004,0.000003,0.009107,0.027986,0.007403
09:26:42.384,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008861,0.028911,0.007728
09:26:42.401,0.004,0.000,0.000,0.000007,0.000005,0.000002,0.009706,0.028437,0.009131
09:26:42.418,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009761,0.029598,0.007834
09:26:42.435,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009758,0.031270,0.008730
09:26:42.454,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009650,0.029641,0.008200
09:26:42.470,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009678,0.029625,0.008145
09:26:42.485,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010039,0.033029,0.008604
09:26:42.500,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009697,0.031214,0.009363
09:26:42.517,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010322,0.030283,0.008639
09:26:42.534,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010156,0.032073,0.008568
09:26:42.553,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.010163,0.027798,0.009514
09:26:42.569,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009347,0.029318,0.007980
09:26:42.596,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009862,0.029881,0.008087
09:26:42.604,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009341,0.028070,0.008191
09:26:42.668,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010250,0.032017,0.008901
09:26:42.716,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009146,0.028986,0.008061
09:26:42.719,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009984,0.030589,0.009346
09:26:42.781,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.010128,0.031861,0.009247
09:26:42.787,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010221,0.031452,0.008751
09:26:42.790,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008958,0.028735,0.007919
09:26:42.804,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009327,0.029635,0.008344
09:26:42.818,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.008437,0.026787,0.007924
09:26:42.836,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009735,0.030556,0.007571
09:26:42.853,0.004,0.000,0.001,0.000008,0.000005,0.000002,0.009975,0.030734,0.009045
09:26:42.869,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009459,0.030326,0.008893
09:26:42.884,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.009898,0.029159,0.007982
09:26:42.901,0.004,0.000,0.000,0.000008,0.000005,0.000002,0.009914,0.029461,0.009800
09:26:42.917,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.008925,0.027865,0.007660
09:26:42.934,0.004,0.000,0.001,0.000008,0.000005,0.000003,0.010519,0.032015,0.009257
09:26:42.950,0.004,0.000,0.001,0.000007,0.000004,0.000002,0.009308,0.030296,0.008327
09:26:42.968,0.004,0.000,0.000,0.000007,0.000004,0.000002,0.009278,0.026627,0.009035
